"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.945467708E0,1.873462513E-1,1.535768268E-1,1.103066708E0
1.955514708E0,5.702451384E-3,1.860964090E-2,1.315984880E0
1.965561708E0,-2.077713613E-1,-1.903116667E-1,1.519463891E0
1.975608708E0,-4.953137641E-1,-3.446574023E-1,1.374703204E0
1.985655708E0,-5.381670575E-1,-3.833978373E-1,9.203646076E-1
1.995703708E0,-5.881820206E-1,-5.291624916E-1,5.052321768E-1
2.005750708E0,-5.535853977E-1,-5.203981000E-1,2.848178744E-3
2.015797708E0,-5.559873608E-1,-3.993256527E-1,-2.376542330E-1
2.025844708E0,-5.954482458E-1,-1.336875227E-1,-5.948536205E-1
2.035891708E0,-6.036177928E-1,-1.727556941E-1,-8.334369761E-1
2.045938708E0,-5.806945147E-1,-3.569125816E-1,-9.406176084E-1
2.055985708E0,-5.909678168E-1,-5.268931872E-1,-9.735532200E-1
2.066032708E0,-5.113208093E-1,-6.652906421E-1,-7.627593416E-1
2.076079708E0,-4.972041324E-1,-7.492967123E-1,-1.824465770E-1
2.086126708E0,-6.045580982E-1,-8.146182972E-1,1.822033328E-1
2.096174708E0,-6.909132142E-1,-8.410535592E-1,3.430380160E-1
2.106221708E0,-6.200790936E-1,-8.140405923E-1,3.848035079E-1
2.116268708E0,-5.599961753E-1,-7.719105265E-1,2.553730506E-1
2.126315708E0,-6.153247225E-1,-6.996640840E-1,4.692156672E-2
2.136362708E0,-7.447805422E-1,-6.692968619E-1,-1.116496593E-1
2.146409708E0,-7.892592153E-1,-6.359417126E-1,-3.027764279E-1
2.156456708E0,-7.085201307E-1,-6.055236197E-1,-5.840748632E-1
2.166503708E0,-6.666184717E-1,-5.267943692E-1,-6.868203825E-1
2.176550708E0,-5.987774677E-1,-5.153130689E-1,-7.931759727E-1
2.186597708E0,-5.384028099E-1,-4.297662574E-1,-7.436792922E-1
2.196645708E0,-5.719094021E-1,-2.491153604E-1,-4.271461201E-1
2.206692708E0,-5.644986410E-1,-1.170317289E-1,-5.376514792E-3
2.216739708E0,-4.913641527E-1,-9.570254803E-2,2.884402245E-1
2.226786708E0,-3.625895337E-1,-1.962845975E-1,4.118188137E-1
2.236833708E0,-2.621414402E-1,-2.652764797E-1,3.924826562E-1
2.246880708E0,-2.677587507E-1,-2.147486427E-1,3.511007416E-1
2.256927708E0,-3.403969383E-1,-2.452664307E-1,2.916111696E-1
2.266974708E0,-4.578338427E-1,-4.041417119E-1,1.345917946E-1
2.277021708E0,-6.379199718E-1,-4.479224467E-1,-1.579467434E-1
2.287068708E0,-8.741792784E-1,-5.165807453E-1,-3.909670579E-1
2.297116708E0,-1.091416862E0,-5.436796662E-1,-5.145140469E-1
2.307163708E0,-1.192852093E0,-4.821611103E-1,-5.436559850E-1
2.317210708E0,-1.280150219E0,-4.078465077E-1,-5.543920577E-1
